brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
91398.0,for_sale,159000.0,2,2,,783141.0,Watertown,Connecticut,06795,1200.0,2010-05-20
3438.0,for_sale,249000.0,,,28.11,1867443.0,Chatham,New York,12130,,
99005.0,for_sale,3495000.0,5,5,33.68,973423.0,Chatham,New York,12037,6500.0,
24184.0,for_sale,995000.0,2,1,0.69,1510086.0,Old Chatham,New York,12136,5356.0,
29847.0,for_sale,499000.0,3,2,1.83,370737.0,Litchfield,Connecticut,06759,1912.0,2022-01-03
84786.0,for_sale,395000.0,4,3,1.1,892934.0,Watertown,Connecticut,06795,1776.0,
54746.0,for_sale,2475000.0,7,8,1.33,501439.0,Litchfield,Connecticut,06759,7005.0,2021-05-07
107912.0,for_sale,1280000.0,3,4,17.28,47611.0,Litchfield,Connecticut,06759,3870.0,2020-07-08
24097.0,for_sale,450000.0,3,2,0.26,915578.0,Copake,New York,12516,1500.0,1998-12-15
107912.0,for_sale,995000.0,2,2,41.0,1040515.0,Canaan,Connecticut,06031,1711.0,
107912.0,for_sale,2675000.0,4,4,35.0,696548.0,Sharon,Connecticut,06069,3516.0,2009-08-31
22550.0,for_sale,436900.0,4,3,1.78,1128759.0,Sand Lake,New York,12196,1950.0,
10368.0,for_sale,99900.0,3,1,0.24,1751380.0,New Lebanon,New York,12125,3048.0,
23402.0,for_sale,465000.0,4,3,12.12,1006019.0,New Lebanon,New York,12125,4588.0,
61576.0,for_sale,259000.0,3,1,1.67,1521787.0,Pownal,Vermont,05261,1368.0,
23402.0,for_sale,215000.0,3,2,0.39,370419.0,New Lebanon,New York,12125,976.0,2015-01-06
84271.0,for_sale,269900.0,3,1,0.86,1794185.0,Hudson,New York,12534,1047.0,
105551.0,for_sale,359900.0,3,3,0.39,953273.0,Watertown,Connecticut,06795,1778.0,2016-08-31
38575.0,for_sale,55000.0,,,2.63,1584270.0,Schodack Landing,New York,12132,,
